,,,0,0,0
FORD,MUSIC SOFTWARE,MISCELLANEOUS,112.38,149.82,43
FORD,NAILS,CLOTHING,136.23,179.08,124
FORD,NECKLACE,CLOTHING,231.25,345.83,154
FORD,PAN,CLOTHING,219.29,315.27,19
FORD,PAPER,SPORTS,209.73,232.8,65
FORD,PEN,SMART WATCH,293.9,331.53,94
FORD,PENCIL,MISCELLANEOUS,267.32,311.62,87
FORD,PENCIL SHARPENER,MISCELLANEOUS,229.06,305.42,73
FORD,PLASMA TV,CLOTHING,60.04,87.84,165
FORD,POTATO CHIPS,LAPTOP COMPUTERS,82.37,86.82,96
FORD,RC CAR,MISCELLANEOUS,60.77,77.43,104
FORD,RC HELICOPTER,ACCESSORIES,238.39,328.9,184
FORD,RC PLANE,MISCELLANEOUS,154.14,229.7,128
FORD,RULLER,SMART WATCH,44.53,59.76,26
FORD,SAW,MONITORS & TV,213.3,301.55,106
FORD,SCREWDRIVER,SMART WATCH,143.05,176.08,136
FORD,SCREWS,MONITORS & TV,15.67,17.84,173
FORD,SHAMPOO,CLOTHING,82.55,119.44,91
FORD,SHAVING CREAM,CLOTHING,27.12,29.62,184
FORD,SHIN GUARDS,SMART WATCH,166.53,212.22,86
FORD,SHOES,MONITORS & TV,148.31,156,80
FORD,SHORTS,SMART WATCH,193.38,260.46,72
FORD,SHOVEL,MONITORS & TV,170.99,247.63,63
FORD,SMARTPHONE,MONITORS & TV,202.6,283.93,156
FORD,SOAP BAR,LAPTOP COMPUTERS,25.95,37.82,42
FORD,SOCKS,CLOTHING,228.45,315.24,41
FORD,SPOON,SPORTS,265.75,374.17,187
FORD,SPORTS DRINK,ACCESSORIES,49.25,67.6,55
FORD,SPRAY PAINT,SPORTS,64.51,76.4,41
FORD,STAPLER,CLOTHING,182.67,243.99,164
FORD,STOPWATCH,SMART WATCH,234.56,268.23,132
FORD,STRAWS,ACCESSORIES,250.18,281.4,157
FORD,STUFFED BEAR,MONITORS & TV,218.05,304.44,100
FORD,SUNGLASSES,MONITORS & TV,164.01,217.83,173
FORD,TENNIS BALL,MONITORS & TV,285.2,376.49,184
FORD,THERMOS,SMART WATCH,229.62,261.29,79
FORD,TIE,ACCESSORIES,87.83,108.94,28
FORD,TIRE,LAPTOP COMPUTERS,246.35,346.01,49
FORD,TOOTHBRUSH,LAPTOP COMPUTERS,276.42,341.61,21
FORD,TOOTHPASTE,SPORTS,75.12,104.73,150
FORD,TOWEL,MONITORS & TV,237.57,311.51,162
FORD,TV REMOTE,MISCELLANEOUS,19.17,26,83
FORD,VIDEO GAME,MONITORS & TV,179.56,233.77,192
FORD,WALLET,CELL PHONE,172.72,202.58,107
FORD,WATCH,LAPTOP COMPUTERS,69.21,81.34,191
FORD,WATER BOTTLE,ACCESSORIES,282.01,329.56,30
FORD,WINTER COAT,LAPTOP COMPUTERS,230.48,252.41,168
FORD,WRENCH,MISCELLANEOUS,54.64,68.93,200
FOX,ALBUM,MONITORS & TV,289.65,373.44,152
FOX,BASEBALL CAP,LAPTOP COMPUTERS,178.91,191.4,141
FOX,BASKETBALL,MISCELLANEOUS,165.36,203.28,196
FOX,BATTERIES,CELL PHONE,7.62,11.1,11
FOX,BATTERY PACK,CLOTHING,64.71,71.22,128
FOX,BLANKET,MISCELLANEOUS,115.1,149.31,54
FOX,BLENDER,MONITORS & TV,62.4,90.89,64
FOX,BOOK,ACCESSORIES,107.63,130.67,21
FOX,BOTTLE OF SODA,LAPTOP COMPUTERS,69.4,82.95,176
FOX,BOWTIE,MISCELLANEOUS,248.27,277.46,198
FOX,BOX,SMART WATCH,66.7,82.33,19
FOX,BRACELET,SMART WATCH,283.95,425.64,11
FOX,CALCULATOR,SPORTS,220.63,289.96,35
FOX,CAR,LAPTOP COMPUTERS,10.11,13.21,76
FOX,CLEATS,MONITORS & TV,287.7,337.15,152
FOX,COFFEE MUG,SMART WATCH,238.07,311.67,61
FOX,COLOGNE,MISCELLANEOUS,201.89,225.88,183
FOX,COLORED PENCILS,CLOTHING,136.47,202.38,79
FOX,COMB,CLOTHING,180.82,247.9,129
FOX,CRACKERS,SPORTS,282.24,339.21,111
FOX,DESK,SPORTS,112.43,148.95,157
FOX,DRILL,CELL PHONE,40.93,58.42,117
FOX,DRILL BITS,CELL PHONE,106.17,154.26,138
FOX,ERASER,MONITORS & TV,239.29,278.16,147
FOX,FISHING ROD,LAPTOP COMPUTERS,241.37,291.29,32
FOX,FLATSCREEN TV,LAPTOP COMPUTERS,185.33,202.65,179
FOX,FLIP PHONE,LAPTOP COMPUTERS,278.34,368.67,56
FOX,FLUTE,CELL PHONE,57.86,68.02,139
FOX,FOOTBALL,CLOTHING,252.19,273.99,86
FOX,FORK,MONITORS & TV,96.33,114.77,69
FOX,FRISBEE,MISCELLANEOUS,214.7,250.69,16
FOX,GLASSES,SPORTS,156.73,195.34,138
FOX,GLOVES,ACCESSORIES,98.44,106.93,69
FOX,GPS,MISCELLANEOUS,122.56,129.26,27
FOX,HAIR GEL,SMART WATCH,181.6,209.74,15
FOX,HAMMER,MONITORS & TV,216.2,288.62,50
FOX,HAND TOWEL,CELL PHONE,103.49,122.23,5
FOX,HANDBAG,MISCELLANEOUS,236.32,331.48,101
FOX,HEADPHONES,MISCELLANEOUS,74.93,86.27,164
FOX,JACKET,CELL PHONE,54.84,75.8,115
FOX,JEANS,CELL PHONE,258.63,298.86,105
FOX,JERSEY,SMART WATCH,43.58,48.91,8
FOX,KEYBOARD,MONITORS & TV,202.05,216.53,15
FOX,KNIFE,SMART WATCH,257.25,298.34,51
FOX,LANYARD,CELL PHONE,182.93,225.77,146
FOX,LAPTOP,CELL PHONE,78.9,86.45,193
FOX,LAWN MOWER,SPORTS,207.75,234.36,94
FOX,LEMONADE,MONITORS & TV,220.72,257.85,84
FOX,LOTION,SMART WATCH,87.64,110.19,62
FOX,MECHANICAL PENCIL,CLOTHING,277.49,397.77,136
FOX,MODEL CAR,MONITORS & TV,166.02,186.16,140
FOX,MUSIC SOFTWARE,MISCELLANEOUS,19.36,26.69,174
FOX,NAILS,CLOTHING,236.34,314.44,43
FOX,NECKLACE,CLOTHING,105.01,128.13,139
FOX,PAN,CLOTHING,41.12,46.51,65
FOX,PAPER,SPORTS,180.46,264.64,6
FOX,PEN,SMART WATCH,240.33,281.33,168
FOX,PENCIL,MISCELLANEOUS,104.62,149.8,106
FOX,PENCIL SHARPENER,MISCELLANEOUS,278.27,366.15,189
FOX,PLASMA TV,CLOTHING,139.25,163.76,62
FOX,POTATO CHIPS,LAPTOP COMPUTERS,47.41,61.18,16
FOX,RC CAR,MISCELLANEOUS,13.57,16.28,78
FOX,RC HELICOPTER,ACCESSORIES,153.19,225.33,90
FOX,RC PLANE,MISCELLANEOUS,21.03,24.47,132
FOX,RULLER,SMART WATCH,158.47,192.11,62
FOX,SAW,MONITORS & TV,14.63,21.53,109
FOX,SCREWDRIVER,SMART WATCH,7.17,7.56,10
FOX,SCREWS,MONITORS & TV,112.3,120.26,121
FOX,SHAMPOO,CLOTHING,264.59,368.49,173
FOX,SHAVING CREAM,CLOTHING,73.73,97.61,7
FOX,SHIN GUARDS,SMART WATCH,58.27,64.67,54
FOX,SHOES,MONITORS & TV,156.77,181.84,119
FOX,SHORTS,SMART WATCH,268.04,340.35,50
FOX,SHOVEL,MONITORS & TV,22.89,26.18,37
FOX,SMARTPHONE,MONITORS & TV,58,73.94,12
FOX,SOAP BAR,LAPTOP COMPUTERS,28.06,38.55,68
FOX,SOCKS,CLOTHING,69.78,90.02,6
FOX,SPOON,SPORTS,174.27,259.03,106
FOX,SPORTS DRINK,ACCESSORIES,145.4,172.32,100
FOX,SPRAY PAINT,SPORTS,171.34,190.26,200
FOX,STAPLER,CLOTHING,12.29,17.89,46
FOX,STOPWATCH,SMART WATCH,84.54,122.2,151
FOX,STRAWS,ACCESSORIES,253.88,362.86,144
FOX,STUFFED BEAR,MONITORS & TV,120.98,147.42,110
FOX,SUNGLASSES,MONITORS & TV,197.86,253.25,197
FOX,TENNIS BALL,MONITORS & TV,255.51,334.37,146
FOX,THERMOS,SMART WATCH,89.95,100.76,150
FOX,TIE,ACCESSORIES,279.26,415.65,109
FOX,TIRE,LAPTOP COMPUTERS,16.39,18.61,104
FOX,TOOTHBRUSH,LAPTOP COMPUTERS,132.71,195.24,137
FOX,TOOTHPASTE,SPORTS,178.49,192.92,174
FOX,TOWEL,MONITORS & TV,32.24,48.1,170
FOX,TV REMOTE,MISCELLANEOUS,6.88,7.96,113
FOX,VIDEO GAME,MONITORS & TV,233.51,349.55,137
FOX,WALLET,CELL PHONE,8.3,11.05,150
FOX,WATCH,LAPTOP COMPUTERS,286.58,426.75,111
FOX,WATER BOTTLE,ACCESSORIES,95.67,114.81,158
FOX,WINTER COAT,LAPTOP COMPUTERS,119.23,144.61,193
FOX,WRENCH,MISCELLANEOUS,238.91,302.06,61
GAP,ALBUM,MONITORS & TV,244.93,257.87,55
GAP,BASEBALL CAP,LAPTOP COMPUTERS,205.91,247.42,71
GAP,BASKETBALL,MISCELLANEOUS,20.49,28.18,157
GAP,BATTERIES,CELL PHONE,27.5,33.2,195
GAP,BATTERY PACK,CLOTHING,127.2,175.66,140
GAP,BLANKET,MISCELLANEOUS,70.1,93.72,106
GAP,BLENDER,MONITORS & TV,261.16,313.58,129
GAP,BOOK,ACCESSORIES,292.79,419.62,25
GAP,BOTTLE OF SODA,LAPTOP COMPUTERS,140.85,204.02,42
GAP,BOWTIE,MISCELLANEOUS,275.78,408.17,11
GAP,BOX,SMART WATCH,213.92,277.98,36
GAP,BRACELET,SMART WATCH,254.68,329.99,160
GAP,CALCULATOR,SPORTS,91.81,117.16,6
GAP,CAR,LAPTOP COMPUTERS,27.34,34.62,52
GAP,CLEATS,MONITORS & TV,179.27,194.37,186
GAP,COFFEE MUG,SMART WATCH,81.81,90.42,161
GAP,COLOGNE,MISCELLANEOUS,39.65,48.86,39
GAP,COLORED PENCILS,CLOTHING,60.98,78.95,100
GAP,COMB,CLOTHING,136.51,145.53,22
GAP,CRACKERS,SPORTS,43.13,51.67,92
GAP,DESK,SPORTS,161.06,197.76,33
GAP,DRILL,CELL PHONE,50.79,67.65,96
GAP,DRILL BITS,CELL PHONE,42.91,62.24,192
GAP,ERASER,MONITORS & TV,281.11,365.36,109
GAP,FISHING ROD,LAPTOP COMPUTERS,298.02,331.03,178
GAP,FLATSCREEN TV,LAPTOP COMPUTERS,153.94,210.89,154
GAP,FLIP PHONE,LAPTOP COMPUTERS,196.25,264.26,66
GAP,FLUTE,CELL PHONE,68.61,99,44
GAP,FOOTBALL,CLOTHING,32.53,41.19,222
GAP,FORK,MONITORS & TV,70.09,101.02,171
GAP,FRISBEE,MISCELLANEOUS,252.63,345.09,61
GAP,GLASSES,SPORTS,77.06,112.16,54
GAP,GLOVES,ACCESSORIES,216.83,320.12,12
GAP,GPS,MISCELLANEOUS,30.59,38.57,148
GAP,HAIR GEL,SMART WATCH,157.06,180.31,43
GAP,HAMMER,MONITORS & TV,136.83,185.67,105
GAP,HAND TOWEL,CELL PHONE,113.87,147.8,96
GAP,HANDBAG,MISCELLANEOUS,164.8,188.56,89
GAP,HEADPHONES,MISCELLANEOUS,241.79,288.84,45
GAP,JACKET,CELL PHONE,227.62,331.97,32
GAP,JEANS,CELL PHONE,59.81,78.76,18
GAP,JERSEY,SMART WATCH,215.49,280.42,115
GAP,KEYBOARD,MONITORS & TV,199.47,265.27,40
GAP,KNIFE,SMART WATCH,233.25,348.97,141
GAP,LANYARD,CELL PHONE,72.27,83.92,80
GAP,LAPTOP,CELL PHONE,113.6,148.79,147
GAP,LAWN MOWER,SPORTS,72.27,76.86,67
GAP,LEMONADE,MONITORS & TV,106.57,147.8,192
GAP,LOTION,SMART WATCH,134.91,190.2,37
GAP,MECHANICAL PENCIL,CLOTHING,87.36,104.95,166
GAP,MODEL CAR,MONITORS & TV,75.49,103.97,39
GAP,MUSIC SOFTWARE,MISCELLANEOUS,67.44,95.58,94
GAP,NAILS,CLOTHING,96.38,137.49,182
GAP,NECKLACE,CLOTHING,276.67,345.91,163
GAP,PAN,CLOTHING,50.51,61.69,64
GAP,PAPER,SPORTS,85,126.56,124
GAP,PEN,SMART WATCH,257.72,369.14,72
GAP,PENCIL,MISCELLANEOUS,34.62,37.65,126
GAP,PENCIL SHARPENER,MISCELLANEOUS,32.25,34.4,27
GAP,PLASMA TV,CLOTHING,256.42,325.16,110
GAP,POTATO CHIPS,LAPTOP COMPUTERS,60.13,73.81,40
GAP,RC CAR,MISCELLANEOUS,230.47,289.56,191
GAP,RC HELICOPTER,ACCESSORIES,207.79,280.33,148
GAP,RC PLANE,MISCELLANEOUS,258,306.81,182
GAP,RULLER,SMART WATCH,271.2,375.03,141
GAP,SAW,MONITORS & TV,253.55,312.92,107
GAP,SCREWDRIVER,SMART WATCH,17.22,23.59,158
GAP,SCREWS,MONITORS & TV,285.18,366.09,195
GAP,SHAMPOO,CLOTHING,168.98,247.77,84
GAP,SHAVING CREAM,CLOTHING,15.58,21.85,189
GAP,SHIN GUARDS,SMART WATCH,151.32,159.65,131
GAP,SHOES,MONITORS & TV,229.23,281.52,75
GAP,SHORTS,SMART WATCH,92.1,102.63,83
GAP,SHOVEL,MONITORS & TV,203.28,277.39,106
GAP,SMARTPHONE,MONITORS & TV,283.44,315.38,111
GAP,SOAP BAR,LAPTOP COMPUTERS,216.57,277.31,73
GAP,SOCKS,CLOTHING,33.57,46.34,144
GAP,SPOON,SPORTS,130.47,151.69,108
GAP,SPORTS DRINK,ACCESSORIES,47.77,60.33,125
GAP,SPRAY PAINT,SPORTS,273.59,333.63,100
GAP,STAPLER,CLOTHING,93.11,128.19,191
GAP,STOPWATCH,SMART WATCH,260.47,289.11,157
GAP,STRAWS,ACCESSORIES,128.36,152.57,143
GAP,STUFFED BEAR,MONITORS & TV,147.34,169.87,48
GAP,SUNGLASSES,MONITORS & TV,162.22,200.95,150
GAP,TENNIS BALL,MONITORS & TV,150.64,181.45,51
GAP,THERMOS,SMART WATCH,173.81,237.64,15
GAP,TIE,ACCESSORIES,29.78,34.33,43
GAP,TIRE,LAPTOP COMPUTERS,110.21,163.59,35
GAP,TOOTHBRUSH,LAPTOP COMPUTERS,275.77,338.25,29
GAP,TOOTHPASTE,SPORTS,49.95,59.54,34
GAP,TOWEL,MONITORS & TV,63.1,76.18,101
GAP,TV REMOTE,MISCELLANEOUS,251.35,306.53,50
GAP,VIDEO GAME,MONITORS & TV,50.73,56.15,75
GAP,WALLET,CELL PHONE,128.08,186.63,133
GAP,WATCH,LAPTOP COMPUTERS,140.96,149.71,183
GAP,WATER BOTTLE,ACCESSORIES,282.37,349.75,14
GAP,WINTER COAT,LAPTOP COMPUTERS,157.14,201.64,19
GAP,WRENCH,MISCELLANEOUS,45.16,53.02,174
GATORADE,ALBUM,MONITORS & TV,110.47,120.35,25
GATORADE,BASEBALL CAP,LAPTOP COMPUTERS,289.59,305.27,11
GATORADE,BASKETBALL,MISCELLANEOUS,193.4,268.67,145
GATORADE,BATTERIES,CELL PHONE,297.67,437.3,196
GATORADE,BATTERY PACK,CLOTHING,141.03,191.75,56
GATORADE,BLANKET,MISCELLANEOUS,11.2,14.48,141
GATORADE,BLENDER,MONITORS & TV,299.6,355.67,129
GATORADE,BOOK,ACCESSORIES,258.98,368.94,171
GATORADE,BOTTLE OF SODA,LAPTOP COMPUTERS,53.95,59.68,76
GATORADE,BOWTIE,MISCELLANEOUS,46.04,60.92,179
GATORADE,BOX,SMART WATCH,16.82,22.22,182
GATORADE,BRACELET,SMART WATCH,36.32,50.54,11
GATORADE,CALCULATOR,SPORTS,188.04,281.61,43
GATORADE,CAR,LAPTOP COMPUTERS,287.27,388,158
GATORADE,CLEATS,MONITORS & TV,246.85,329.16,170
GATORADE,COFFEE MUG,SMART WATCH,33.09,46.57,150
GATORADE,COLOGNE,MISCELLANEOUS,295.17,396.97,12
GATORADE,COLORED PENCILS,CLOTHING,264.79,279.05,13
GATORADE,COMB,CLOTHING,143.99,212.78,145
GATORADE,CRACKERS,SPORTS,179.19,204.48,17
GATORADE,DESK,SPORTS,287.76,356.07,118
GATORADE,DRILL,CELL PHONE,215.85,278.67,126
GATORADE,DRILL BITS,CELL PHONE,256.04,320.29,96
GATORADE,ERASER,MONITORS & TV,28.57,42.57,136
GATORADE,FISHING ROD,LAPTOP COMPUTERS,99.2,143.19,133
GATORADE,FLATSCREEN TV,LAPTOP COMPUTERS,71.36,82.66,115
GATORADE,FLIP PHONE,LAPTOP COMPUTERS,240.02,306.13,24
GATORADE,FLUTE,CELL PHONE,126.33,136.48,31
GATORADE,FOOTBALL,CLOTHING,133.64,153.84,151
GATORADE,FORK,MONITORS & TV,151.98,161.45,180
GATORADE,FRISBEE,MISCELLANEOUS,20.19,22.6,75
GATORADE,GLASSES,SPORTS,223.6,246.78,107
GATORADE,GLOVES,ACCESSORIES,292.89,323.68,141
GATORADE,GPS,MISCELLANEOUS,14.11,15.59,145
GATORADE,HAIR GEL,SMART WATCH,200.64,220.58,20
GATORADE,HAMMER,MONITORS & TV,296.79,322.61,47
GATORADE,HAND TOWEL,CELL PHONE,113.32,146.46,151
GATORADE,HANDBAG,MISCELLANEOUS,193.66,213.8,123
GATORADE,HEADPHONES,MISCELLANEOUS,61.73,92.49,163
GATORADE,JACKET,CELL PHONE,64.73,70.43,121
GATORADE,JEANS,CELL PHONE,229.2,305,152
GATORADE,JERSEY,SMART WATCH,160.45,228.98,128
GATORADE,KEYBOARD,MONITORS & TV,158.35,186.06,26
GATORADE,KNIFE,SMART WATCH,27.7,33.81,162
GATORADE,LANYARD,CELL PHONE,202.76,228.22,114
GATORADE,LAPTOP,CELL PHONE,127.84,191.53,172
GATORADE,LAWN MOWER,SPORTS,202.98,300.7,116
GATORADE,LEMONADE,MONITORS & TV,143.43,184.68,93
GATORADE,LOTION,SMART WATCH,139.67,207.51,45
GATORADE,MECHANICAL PENCIL,CLOTHING,70.61,76.23,137
GATORADE,MODEL CAR,MONITORS & TV,213.57,228.96,140
GATORADE,MUSIC SOFTWARE,MISCELLANEOUS,118.63,171.47,20
GATORADE,NAILS,CLOTHING,244.99,345.06,53
GATORADE,NECKLACE,CLOTHING,238.68,289.02,144
GATORADE,PAN,CLOTHING,157.55,202.77,93
GATORADE,PAPER,SPORTS,90.38,109.67,186
GATORADE,PEN,SMART WATCH,265.5,342.95,131
GATORADE,PENCIL,MISCELLANEOUS,297.93,409.87,110
GATORADE,PENCIL SHARPENER,MISCELLANEOUS,114.87,162.7,127
GATORADE,PLASMA TV,CLOTHING,7.28,9.41,92
GATORADE,POTATO CHIPS,LAPTOP COMPUTERS,148.59,203,90
GATORADE,RC CAR,MISCELLANEOUS,251.61,370.35,52
GATORADE,RC HELICOPTER,ACCESSORIES,167.95,214.48,131
GATORADE,RC PLANE,MISCELLANEOUS,13.51,16.13,76
GATORADE,RULLER,SMART WATCH,225.04,325.71,81
GATORADE,SAW,MONITORS & TV,54.63,63.74,89
GATORADE,SCREWDRIVER,SMART WATCH,52.3,57.79,7
GATORADE,SCREWS,MONITORS & TV,280.26,305.92,25
GATORADE,SHAMPOO,CLOTHING,147.11,172.45,141
GATORADE,SHAVING CREAM,CLOTHING,280.56,386.99,5
GATORADE,SHIN GUARDS,SMART WATCH,268.56,385.98,130
GATORADE,SHOES,MONITORS & TV,236.68,323.77,184
GATORADE,SHORTS,SMART WATCH,292.03,389.67,143
GATORADE,SHOVEL,MONITORS & TV,155.88,186.95,126
GATORADE,SMARTPHONE,MONITORS & TV,286.67,311.64,86
GATORADE,SOAP BAR,LAPTOP COMPUTERS,16.37,23.68,15
GATORADE,SOCKS,CLOTHING,19.25,25.7,148
GATORADE,SPOON,SPORTS,228.18,337.24,162
GATORADE,SPORTS DRINK,ACCESSORIES,250.06,355.06,27
GATORADE,SPRAY PAINT,SPORTS,287.65,352.54,55
GATORADE,STAPLER,CLOTHING,92.05,114.91,51
GATORADE,STOPWATCH,SMART WATCH,297.1,325.21,153
GATORADE,STRAWS,ACCESSORIES,202.67,253.02,72
GATORADE,STUFFED BEAR,MONITORS & TV,178.98,188.69,151
GATORADE,SUNGLASSES,MONITORS & TV,255.13,352.26,123
GATORADE,TENNIS BALL,MONITORS & TV,295.28,337.58,194
GATORADE,THERMOS,SMART WATCH,296.16,439.69,99
GATORADE,TIE,ACCESSORIES,223.05,308.69,63
GATORADE,TIRE,LAPTOP COMPUTERS,284.09,398.17,31
GATORADE,TOOTHBRUSH,LAPTOP COMPUTERS,211.14,239.28,138
GATORADE,TOOTHPASTE,SPORTS,230.7,308.52,55
GATORADE,TOWEL,MONITORS & TV,153.17,210.21,182
GATORADE,TV REMOTE,MISCELLANEOUS,125.15,154.08,169
GATORADE,VIDEO GAME,MONITORS & TV,77.61,85.72,58
GATORADE,WALLET,CELL PHONE,207.62,271.24,74
GATORADE,WATCH,LAPTOP COMPUTERS,297.67,325.4,181
GATORADE,WATER BOTTLE,ACCESSORIES,296.88,402.87,120
GATORADE,WINTER COAT,LAPTOP COMPUTERS,57.06,62.2,198
GATORADE,WRENCH,MISCELLANEOUS,13.32,18.82,152
GENERAL MILLS,ALBUM,MONITORS & TV,260.19,325.1,190
GENERAL MILLS,BASEBALL CAP,LAPTOP COMPUTERS,102.92,118.9,29
GENERAL MILLS,BASKETBALL,MISCELLANEOUS,165.75,210.3,108
GENERAL MILLS,BATTERIES,CELL PHONE,148.54,220.65,36
GENERAL MILLS,BATTERY PACK,CLOTHING,16.53,18.7,98
GENERAL MILLS,BLANKET,MISCELLANEOUS,141.21,201.02,85
GENERAL MILLS,BLENDER,MONITORS & TV,101.52,114.31,21
GENERAL MILLS,BOOK,ACCESSORIES,242.16,314.68,83
GENERAL MILLS,BOTTLE OF SODA,LAPTOP COMPUTERS,45.55,52.73,159
GENERAL MILLS,BOWTIE,MISCELLANEOUS,8.92,11.37,191
GENERAL MILLS,BOX,SMART WATCH,163.78,216.53,32
GENERAL MILLS,BRACELET,SMART WATCH,179.42,262.36,11
GENERAL MILLS,CALCULATOR,SPORTS,266.77,282.19,168
GENERAL MILLS,CAR,LAPTOP COMPUTERS,235.78,266.72,124
GENERAL MILLS,CLEATS,MONITORS & TV,41.98,59.55,21
GENERAL MILLS,COFFEE MUG,SMART WATCH,77.66,90.11,143
GENERAL MILLS,COLOGNE,MISCELLANEOUS,185.71,212.13,32
GENERAL MILLS,COLORED PENCILS,CLOTHING,60.01,63.58,77
GENERAL MILLS,COMB,CLOTHING,96.11,138.57,13
GENERAL MILLS,CRACKERS,SPORTS,175.33,257.62,82
GENERAL MILLS,DESK,SPORTS,34.18,43.41,93
GENERAL MILLS,DRILL,CELL PHONE,20.95,22.55,166
GENERAL MILLS,DRILL BITS,CELL PHONE,195.01,248.85,74
GENERAL MILLS,ERASER,MONITORS & TV,243.22,323.48,197
GENERAL MILLS,FISHING ROD,LAPTOP COMPUTERS,107,131.63,124
GENERAL MILLS,FLATSCREEN TV,LAPTOP COMPUTERS,106.3,125.19,174
GENERAL MILLS,FLIP PHONE,LAPTOP COMPUTERS,127.98,141.59,179
GENERAL MILLS,FLUTE,CELL PHONE,260.37,345.48,130
GENERAL MILLS,FOOTBALL,CLOTHING,5.38,6.55,112
GENERAL MILLS,FORK,MONITORS & TV,185.2,265.62,96
GENERAL MILLS,FRISBEE,MISCELLANEOUS,35.23,45.95,116
GENERAL MILLS,GLASSES,SPORTS,179.63,254.82,181
GENERAL MILLS,GLOVES,ACCESSORIES,222.49,332.16,48
GENERAL MILLS,GPS,MISCELLANEOUS,294.4,334.13,136
GENERAL MILLS,HAIR GEL,SMART WATCH,56.76,65.91,62
GENERAL MILLS,HAMMER,MONITORS & TV,147.06,170.74,44
GENERAL MILLS,HAND TOWEL,CELL PHONE,197.03,242.7,55
GENERAL MILLS,HANDBAG,MISCELLANEOUS,51.95,75.94,64
GENERAL MILLS,HEADPHONES,MISCELLANEOUS,18.35,23.45,200
GENERAL MILLS,JACKET,CELL PHONE,113.06,139.94,30
GENERAL MILLS,JEANS,CELL PHONE,166.65,199.91,160
GENERAL MILLS,JERSEY,SMART WATCH,57.55,78.54,183
GENERAL MILLS,KEYBOARD,MONITORS & TV,187.37,274.3,123
GENERAL MILLS,KNIFE,SMART WATCH,158.79,174.85,59
GENERAL MILLS,LANYARD,CELL PHONE,171.5,236.17,172
GENERAL MILLS,LAPTOP,CELL PHONE,167.33,224.83,71
GENERAL MILLS,LAWN MOWER,SPORTS,225.81,321.51,79
GENERAL MILLS,LEMONADE,MONITORS & TV,38.96,58.19,142
GENERAL MILLS,LOTION,SMART WATCH,96.88,134.3,176
GENERAL MILLS,MECHANICAL PENCIL,CLOTHING,185.86,275.51,117
GENERAL MILLS,MODEL CAR,MONITORS & TV,256.93,337.37,7
GENERAL MILLS,MUSIC SOFTWARE,MISCELLANEOUS,176.11,242.76,139
GENERAL MILLS,NAILS,CLOTHING,131.52,194.03,172
GENERAL MILLS,NECKLACE,CLOTHING,122.02,129.45,186
GENERAL MILLS,PAN,CLOTHING,139.17,158.94,158
GENERAL MILLS,PAPER,SPORTS,91.09,111.28,15
GENERAL MILLS,PEN,SMART WATCH,128.93,187.99,175
GENERAL MILLS,PENCIL,MISCELLANEOUS,227.91,321.76,55
GENERAL MILLS,PENCIL SHARPENER,MISCELLANEOUS,142.75,190.01,137
GENERAL MILLS,PLASMA TV,CLOTHING,15.2,18.54,129
GENERAL MILLS,POTATO CHIPS,LAPTOP COMPUTERS,105.9,132.29,181
GENERAL MILLS,RC CAR,MISCELLANEOUS,285.18,368.02,63
GENERAL MILLS,RC HELICOPTER,ACCESSORIES,13.99,20.23,63
GENERAL MILLS,RC PLANE,MISCELLANEOUS,217.76,279.37,125
GENERAL MILLS,RULLER,SMART WATCH,30.21,44.86,152
GENERAL MILLS,SAW,MONITORS & TV,77.47,97.84,180
GENERAL MILLS,SCREWDRIVER,SMART WATCH,278.45,349.15,94
GENERAL MILLS,SCREWS,MONITORS & TV,55.66,65.15,129
GENERAL MILLS,SHAMPOO,CLOTHING,176.55,198.59,126
GENERAL MILLS,SHAVING CREAM,CLOTHING,186.78,268.27,76
GENERAL MILLS,SHIN GUARDS,SMART WATCH,239.32,306.15,59
GENERAL MILLS,SHOES,MONITORS & TV,69.23,92.2,186
GENERAL MILLS,SHORTS,SMART WATCH,252.1,319.56,55
GENERAL MILLS,SHOVEL,MONITORS & TV,153.27,164.27,139
GENERAL MILLS,SMARTPHONE,MONITORS & TV,137.26,150.49,167
GENERAL MILLS,SOAP BAR,LAPTOP COMPUTERS,264.84,359.27,74
GENERAL MILLS,SOCKS,CLOTHING,33.81,40.2,153
GENERAL MILLS,SPOON,SPORTS,159.86,181.34,82
GENERAL MILLS,SPORTS DRINK,ACCESSORIES,231.55,295.26,175
GENERAL MILLS,SPRAY PAINT,SPORTS,13.05,17.33,23
GENERAL MILLS,STAPLER,CLOTHING,79.93,103.88,133
GENERAL MILLS,STOPWATCH,SMART WATCH,72.57,94.66,45
GENERAL MILLS,STRAWS,ACCESSORIES,101.94,120.34,116
GENERAL MILLS,STUFFED BEAR,MONITORS & TV,61.71,69.05,159
GENERAL MILLS,SUNGLASSES,MONITORS & TV,105.89,127.81,51
GENERAL MILLS,TENNIS BALL,MONITORS & TV,251.89,334.16,25
GENERAL MILLS,THERMOS,SMART WATCH,174.54,216.29,182
GENERAL MILLS,TIE,ACCESSORIES,273.87,383.47,87
GENERAL MILLS,TIRE,LAPTOP COMPUTERS,55.96,78.87,67
GENERAL MILLS,TOOTHBRUSH,LAPTOP COMPUTERS,171.91,224.39,40
GENERAL MILLS,TOOTHPASTE,SPORTS,23.65,35.14,92
GENERAL MILLS,TOWEL,MONITORS & TV,168.29,238.53,187
